Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,: ,: ,: ,: ,: ,100.00 ,106.25 ,114.03 ,119.92 ,124.13 ,130.21 ,141.32 ,148.78 ,155.79 ,164.85 ,177.50 ,199.56 ,222.36 
Belgium,78.86 ,86.56 ,93.31 ,97.42 ,96.96 ,100.00 ,104.02 ,106.35 ,107.59 ,107.00 ,108.80 ,111.67 ,115.73 ,119.04 ,123.79 ,129.03 ,138.23 ,145.99 
Bulgaria,75.69 ,86.82 ,111.92 ,139.86 ,111.32 ,100.00 ,94.49 ,92.69 ,90.65 ,91.95 ,94.52 ,101.15 ,109.91 ,117.16 ,124.21 ,129.87 ,141.14 ,160.60 
Cyprus,85.97 ,96.17 ,107.46 ,113.52 ,106.08 ,100.00 ,98.40 ,95.39 ,91.49 ,89.88 ,88.58 ,88.81 ,90.81 ,92.40 ,95.84 ,95.65 ,92.41 ,95.41 
Czech Republic,: ,: ,: ,105.90 ,101.80 ,100.00 ,100.00 ,98.60 ,98.60 ,101.00 ,105.10 ,112.50 ,125.80 ,136.50 ,149.00 ,161.60 ,193.50 ,226.10 
Germany,99.40 ,99.00 ,96.90 ,98.20 ,99.00 ,100.00 ,103.50 ,107.10 ,110.40 ,113.90 ,119.30 ,128.20 ,136.10 ,145.10 ,153.50 ,165.40 ,184.60 ,194.30 
Denmark,91.47 ,113.49 ,116.53 ,110.51 ,97.28 ,100.00 ,98.30 ,95.65 ,99.37 ,103.12 ,110.30 ,116.06 ,121.33 ,126.64 ,129.61 ,136.21 ,152.19 ,151.48 
EA,90.78 ,96.76 ,100.70 ,101.90 ,99.06 ,100.00 ,101.07 ,98.87 ,96.81 ,96.98 ,98.51 ,102.48 ,106.91 ,111.98 ,116.84 ,122.90 ,132.61 ,141.94 
EA19,90.19 ,96.55 ,101.01 ,102.41 ,99.12 ,100.00 ,101.13 ,98.96 ,96.94 ,97.17 ,98.70 ,102.67 ,107.12 ,112.20 ,117.07 ,123.14 ,132.86 ,142.22 
EA20,90.13 ,96.55 ,101.06 ,102.47 ,99.17 ,100.00 ,101.12 ,98.95 ,96.93 ,97.14 ,98.64 ,102.59 ,107.03 ,112.11 ,117.02 ,123.10 ,132.83 ,142.25 
Estonia,92.35 ,138.06 ,166.72 ,150.69 ,94.63 ,100.00 ,108.49 ,116.39 ,128.79 ,146.45 ,156.50 ,163.92 ,172.95 ,183.20 ,196.04 ,207.81 ,239.09 ,292.27 
Spain,: ,100.71 ,110.58 ,109.00 ,101.80 ,100.00 ,92.36 ,78.71 ,71.52 ,71.75 ,74.32 ,77.76 ,82.57 ,88.13 ,92.69 ,94.76 ,98.25 ,105.52 
EU,87.36 ,94.89 ,102.87 ,103.44 ,98.80 ,100.00 ,100.31 ,98.45 ,97.26 ,98.85 ,101.56 ,106.31 ,111.31 ,116.58 ,121.60 ,128.15 ,138.92 ,149.60 
EU27_2020,86.09 ,94.39 ,102.14 ,103.52 ,99.56 ,100.00 ,100.59 ,98.39 ,96.61 ,97.22 ,99.37 ,103.66 ,108.55 ,113.94 ,119.45 ,126.07 ,136.66 ,147.17 
EU28,86.75 ,94.87 ,102.90 ,103.48 ,98.85 ,100.00 ,100.31 ,98.46 ,97.26 ,98.86 ,101.57 ,106.32 ,111.32 ,116.59 ,121.61 ,: ,: ,: 
Finland,81.22 ,86.87 ,92.00 ,92.73 ,94.07 ,100.00 ,103.18 ,105.67 ,106.89 ,106.51 ,106.52 ,107.89 ,109.06 ,110.07 ,110.53 ,112.48 ,117.65 ,119.03 
France,84.94 ,94.76 ,100.83 ,101.78 ,95.57 ,100.00 ,105.73 ,105.15 ,103.20 ,101.62 ,100.26 ,101.31 ,104.51 ,107.57 ,111.14 ,116.92 ,124.30 ,132.22 
Croatia,: ,: ,: ,112.38 ,106.76 ,100.00 ,100.18 ,98.61 ,94.71 ,93.22 ,90.53 ,91.33 ,94.82 ,100.61 ,109.63 ,118.03 ,126.66 ,145.46 
Hungary,: ,: ,105.61 ,108.12 ,102.45 ,100.00 ,96.57 ,93.00 ,90.62 ,94.41 ,106.77 ,121.06 ,135.86 ,155.35 ,181.69 ,190.67 ,222.12 ,270.72 
Ireland,124.46 ,142.98 ,153.65 ,142.98 ,115.60 ,100.00 ,82.92 ,71.76 ,72.66 ,84.67 ,94.38 ,101.42 ,112.44 ,123.94 ,126.85 ,127.24 ,137.77 ,154.74 
Iceland,84.14 ,98.30 ,107.53 ,114.22 ,103.13 ,100.00 ,104.64 ,111.86 ,118.31 ,128.28 ,138.85 ,152.41 ,182.17 ,197.18 ,205.90 ,219.09 ,246.54 ,298.31 
Italy,: ,: ,: ,: ,: ,100.00 ,101.40 ,98.80 ,92.40 ,88.00 ,84.70 ,84.90 ,84.00 ,83.50 ,83.40 ,85.00 ,87.20 ,90.50 
Lithuania,: ,111.93 ,141.39 ,154.10 ,107.98 ,100.00 ,106.60 ,106.36 ,107.65 ,114.57 ,118.76 ,125.18 ,136.33 ,146.29 ,156.30 ,167.66 ,194.58 ,231.64 
Luxembourg,: ,: ,92.86 ,95.96 ,94.86 ,100.00 ,103.68 ,108.03 ,113.42 ,118.39 ,124.78 ,132.28 ,139.70 ,149.56 ,164.69 ,188.56 ,214.81 ,235.33 
Latvia,: ,130.02 ,177.19 ,179.15 ,112.31 ,100.00 ,110.42 ,113.71 ,121.50 ,128.78 ,124.46 ,135.03 ,146.87 ,160.92 ,175.33 ,181.42 ,201.18 ,229.01 
Malta,64.19 ,76.94 ,93.09 ,103.41 ,98.94 ,100.00 ,98.64 ,101.65 ,101.23 ,103.82 ,109.85 ,115.84 ,121.96 ,129.01 ,136.92 ,141.55 ,148.77 ,158.67 
Netherlands,95.33 ,99.40 ,104.22 ,106.50 ,101.75 ,100.00 ,98.02 ,91.44 ,85.95 ,86.66 ,89.77 ,94.27 ,101.38 ,110.96 ,119.05 ,128.14 ,147.40 ,167.23 
Norway,71.59 ,81.39 ,91.64 ,90.66 ,92.38 ,100.00 ,108.17 ,115.46 ,120.43 ,123.72 ,131.99 ,142.39 ,150.13 ,152.48 ,158.62 ,166.45 ,181.69 ,192.32 
Poland,: ,: ,: ,: ,: ,100.00 ,100.07 ,96.58 ,92.35 ,93.27 ,94.69 ,96.45 ,100.16 ,106.75 ,116.01 ,128.17 ,139.92 ,156.43 
Portugal,: ,: ,: ,100.16 ,99.24 ,100.00 ,95.10 ,88.38 ,86.71 ,90.39 ,93.15 ,99.77 ,109.00 ,120.19 ,132.16 ,143.75 ,157.27 ,177.14 
Romania,: ,: ,: ,: ,108.15 ,100.00 ,87.69 ,83.25 ,83.03 ,81.33 ,83.65 ,88.63 ,93.99 ,99.23 ,102.63 ,107.44 ,112.17 ,120.21 
Sweden,70.36 ,79.03 ,88.88 ,89.87 ,92.70 ,100.00 ,102.58 ,103.87 ,109.22 ,119.52 ,135.20 ,146.34 ,156.06 ,154.60 ,158.44 ,165.09 ,181.79 ,188.27 
Slovenia,: ,: ,103.11 ,110.32 ,99.87 ,100.00 ,102.71 ,95.64 ,90.62 ,84.64 ,85.32 ,88.10 ,95.38 ,103.71 ,110.65 ,115.75 ,129.11 ,148.16 
Slovakia,: ,78.51 ,101.26 ,119.39 ,104.17 ,100.00 ,98.50 ,95.84 ,96.70 ,98.06 ,103.33 ,110.25 ,116.75 ,125.35 ,136.79 ,149.88 ,159.46 ,181.30 
Turkey,: ,: ,: ,: ,: ,100.00 ,106.94 ,117.08 ,130.42 ,148.19 ,172.09 ,194.92 ,214.82 ,229.56 ,242.02 ,302.01 ,422.30 ,1095.72 
Ukraine,91.64 ,98.79 ,108.58 ,103.79 ,94.53 ,100.00 ,98.53 ,98.90 ,101.44 ,109.58 ,116.08 ,124.19 ,129.85 ,134.10 ,135.42 ,: ,: ,: 
